plate,well,component_no,component,ot2_label,vol
P3,G11,component6,11,malt_extract,2
P3,H11,component6,11,malt_extract,2
P3,A12,component6,11,malt_extract,2
P3,B12,component6,11,malt_extract,2
P3,C12,component6,11,malt_extract,2
P3,D12,component6,11,malt_extract,2
P3,E12,component6,11,malt_extract,2
P3,B1,component1,2,k2hpo4,2
P3,C1,component2,2,k2hpo4,2
P3,D1,component1,2,k2hpo4,2
P3,E2,component1,2,k2hpo4,2
P3,F2,component2,2,k2hpo4,2
P3,G2,component1,2,k2hpo4,2
P3,A3,component1,2,k2hpo4,2
P3,C3,component1,2,k2hpo4,2
P3,D3,component2,2,k2hpo4,2
P3,B4,component1,2,k2hpo4,2
P3,C4,component1,2,k2hpo4,2
P3,D4,component1,2,k2hpo4,2
P3,E4,component2,2,k2hpo4,2
P3,F4,component1,2,k2hpo4,2
P3,H5,component2,2,k2hpo4,2
P3,A6,component1,2,k2hpo4,2
P3,C6,component1,2,k2hpo4,2
P3,D6,component2,2,k2hpo4,2
P3,E6,component1,2,k2hpo4,2
P3,F7,component1,2,k2hpo4,2
P3,G7,component2,2,k2hpo4,2
P3,H7,component1,2,k2hpo4,2
P3,B8,component1,2,k2hpo4,2
P3,D8,component1,2,k2hpo4,2
P3,E8,component2,2,k2hpo4,2
P3,C9,component1,2,k2hpo4,2
P3,D9,component1,2,k2hpo4,2
P3,E9,component1,2,k2hpo4,2
P3,F9,component2,2,k2hpo4,2
P3,G9,component1,2,k2hpo4,2
P3,A11,component2,2,k2hpo4,2
P3,B11,component1,2,k2hpo4,2
P3,D11,component1,2,k2hpo4,2
P3,E11,component2,2,k2hpo4,2
P3,F11,component1,2,k2hpo4,2
P3,A1,component1,3,mgso4_x_7_h2o,2
P3,F1,component1,3,mgso4_x_7_h2o,2
P3,G1,component2,3,mgso4_x_7_h2o,2
P3,H1,component1,3,mgso4_x_7_h2o,2
P3,E2,component2,3,mgso4_x_7_h2o,2
P3,G2,component2,3,mgso4_x_7_h2o,2
P3,B3,component2,3,mgso4_x_7_h2o,2
P3,E3,component1,3,mgso4_x_7_h2o,2
P3,G3,component1,3,mgso4_x_7_h2o,2
P3,B4,component2,3,mgso4_x_7_h2o,2
P3,H4,component1,3,mgso4_x_7_h2o,2
P3,A5,component2,3,mgso4_x_7_h2o,2
P3,B5,component1,3,mgso4_x_7_h2o,2
P3,C5,component2,3,mgso4_x_7_h2o,2
P3,H5,component3,3,mgso4_x_7_h2o,2
P3,A6,component2,3,mgso4_x_7_h2o,2
P3,B6,component1,3,mgso4_x_7_h2o,2
P3,G6,component1,3,mgso4_x_7_h2o,2
P3,H6,component2,3,mgso4_x_7_h2o,2
P3,A7,component1,3,mgso4_x_7_h2o,2
P3,F7,component2,3,mgso4_x_7_h2o,2
P3,H7,component2,3,mgso4_x_7_h2o,2
P3,C8,component2,3,mgso4_x_7_h2o,2
P3,F8,component1,3,mgso4_x_7_h2o,2
P3,H8,component1,3,mgso4_x_7_h2o,2
P3,C9,component2,3,mgso4_x_7_h2o,2
P3,A10,component1,3,mgso4_x_7_h2o,2
P3,B10,component2,3,mgso4_x_7_h2o,2
P3,C10,component1,3,mgso4_x_7_h2o,2
P3,D10,component2,3,mgso4_x_7_h2o,2
P3,A11,component3,3,mgso4_x_7_h2o,2
P3,B11,component2,3,mgso4_x_7_h2o,2
P3,C11,component1,3,mgso4_x_7_h2o,2
P3,H11,component1,3,mgso4_x_7_h2o,2
P3,A12,component2,3,mgso4_x_7_h2o,2
P3,B12,component1,3,mgso4_x_7_h2o,2
P3,D1,component2,4,nacl,2
P3,H1,component2,4,nacl,2
P3,A2,component2,4,nacl,2
P3,B2,component1,4,nacl,2
P3,F2,component3,4,nacl,2
P3,H2,component1,4,nacl,2
P3,B3,component3,4,nacl,2
P3,F3,component2,4,nacl,2
P3,B4,component3,4,nacl,2
P3,D4,component2,4,nacl,2
P3,F4,component2,4,nacl,2
P3,H4,component2,4,nacl,2
P3,B5,component2,4,nacl,2
P3,D5,component1,4,nacl,2
P3,E5,component2,4,nacl,2
P3,F5,component1,4,nacl,2
P3,E6,component2,4,nacl,2
P3,A7,component2,4,nacl,2
P3,B7,component2,4,nacl,2
P3,C7,component1,4,nacl,2
P3,G7,component3,4,nacl,2
P3,A8,component1,4,nacl,2
P3,C8,component3,4,nacl,2
P3,G8,component2,4,nacl,2
P3,C9,component3,4,nacl,2
P3,E9,component2,4,nacl,2
P3,G9,component2,4,nacl,2
P3,A10,component2,4,nacl,2
P3,C10,component2,4,nacl,2
P3,E10,component1,4,nacl,2
P3,F10,component2,4,nacl,2
P3,G10,component1,4,nacl,2
P3,F11,component2,4,nacl,2
P3,B12,component2,4,nacl,2
P3,C12,component2,4,nacl,2
P3,D12,component1,4,nacl,2
P3,B1,component2,5,l_asparagine,2
P3,F1,component2,5,l_asparagine,2
P3,C2,component2,5,l_asparagine,2
P3,C3,component2,5,l_asparagine,2
P3,F3,component3,5,l_asparagine,2
P3,G3,component2,5,l_asparagine,2
P3,H3,component2,5,l_asparagine,2
P3,A4,component1,5,l_asparagine,2
P3,E4,component3,5,l_asparagine,2
P3,F4,component3,5,l_asparagine,2
P3,G4,component1,5,l_asparagine,2
P3,A5,component3,5,l_asparagine,2
P3,B5,component3,5,l_asparagine,2
P3,D5,component2,5,l_asparagine,2
P3,F5,component2,5,l_asparagine,2
P3,A6,component3,5,l_asparagine,2
P3,C6,component2,5,l_asparagine,2
P3,G6,component2,5,l_asparagine,2
P3,D7,component2,5,l_asparagine,2
P3,D8,component2,5,l_asparagine,2
P3,G8,component3,5,l_asparagine,2
P3,H8,component2,5,l_asparagine,2
P3,A9,component2,5,l_asparagine,2
P3,B9,component1,5,l_asparagine,2
P3,F9,component3,5,l_asparagine,2
P3,G9,component3,5,l_asparagine,2
P3,H9,component1,5,l_asparagine,2
P3,B10,component3,5,l_asparagine,2
P3,C10,component3,5,l_asparagine,2
P3,E10,component2,5,l_asparagine,2
P3,G10,component2,5,l_asparagine,2
P3,B11,component3,5,l_asparagine,2
P3,D11,component2,5,l_asparagine,2
P3,H11,component2,5,l_asparagine,2
P3,E12,component2,5,l_asparagine,2
P3,C1,component3,6,glycerol,4
P3,D1,component3,6,glycerol,4
P3,E1,component1,6,glycerol,4
P3,G1,component3,6,glycerol,4
P3,H1,component3,6,glycerol,4
P3,B2,component2,6,glycerol,4
P3,C2,component3,6,glycerol,4
P3,G2,component3,6,glycerol,4
P3,A3,component2,6,glycerol,4
P3,C3,component3,6,glycerol,4
P3,E3,component2,6,glycerol,4
P3,G3,component3,6,glycerol,4
P3,A4,component2,6,glycerol,4
P3,E5,component3,6,glycerol,4
P3,F5,component3,6,glycerol,4
P3,G5,component2,6,glycerol,4
P3,D6,component3,6,glycerol,4
P3,E6,component3,6,glycerol,4
P3,F6,component1,6,glycerol,4
P3,H6,component3,6,glycerol,4
P3,A7,component3,6,glycerol,4
P3,C7,component2,6,glycerol,4
P3,D7,component3,6,glycerol,4
P3,H7,component3,6,glycerol,4
P3,B8,component2,6,glycerol,4
P3,D8,component3,6,glycerol,4
P3,F8,component2,6,glycerol,4
P3,H8,component3,6,glycerol,4
P3,B9,component2,6,glycerol,4
P3,F10,component3,6,glycerol,4
P3,G10,component3,6,glycerol,4
P3,H10,component2,6,glycerol,4
P3,E11,component3,6,glycerol,4
P3,F11,component3,6,glycerol,4
P3,G11,component1,6,glycerol,4
P3,A12,component3,6,glycerol,4
P3,B12,component3,6,glycerol,4
P3,D12,component2,6,glycerol,4
P3,E12,component3,6,glycerol,4
P3,A1,component4,7,yeast_extract,2
P3,B1,component4,7,yeast_extract,2
P3,C1,component4,7,yeast_extract,2
P3,D1,component4,7,yeast_extract,2
P3,D3,component4,7,yeast_extract,2
P3,E3,component4,7,yeast_extract,2
P3,F3,component4,7,yeast_extract,2
P3,G3,component4,7,yeast_extract,2
P3,H3,component4,7,yeast_extract,2
P3,A4,component4,7,yeast_extract,2
P3,B4,component4,7,yeast_extract,2
P3,C4,component4,7,yeast_extract,2
P3,D4,component4,7,yeast_extract,2
P3,E4,component4,7,yeast_extract,2
P3,F4,component4,7,yeast_extract,2
P3,G4,component4,7,yeast_extract,2
P3,H4,component4,7,yeast_extract,2
P3,A5,component4,7,yeast_extract,2
P3,B5,component4,7,yeast_extract,2
P3,A8,component4,7,yeast_extract,2
P3,B8,component4,7,yeast_extract,2
P3,C8,component4,7,yeast_extract,2
P3,D8,component4,7,yeast_extract,2
P3,E8,component4,7,yeast_extract,2
P3,F8,component4,7,yeast_extract,2
P3,G8,component4,7,yeast_extract,2
P3,H8,component4,7,yeast_extract,2
P3,A9,component4,7,yeast_extract,2
P3,B9,component4,7,yeast_extract,2
P3,C9,component4,7,yeast_extract,2
P3,D9,component4,7,yeast_extract,2
P3,E9,component4,7,yeast_extract,2
P3,F9,component4,7,yeast_extract,2
P3,G9,component4,7,yeast_extract,2
P3,H9,component4,7,yeast_extract,2
P3,A10,component4,7,yeast_extract,2
P3,B10,component4,7,yeast_extract,2
P3,C10,component4,7,yeast_extract,2
P3,D10,component4,7,yeast_extract,2
P3,E10,component4,7,yeast_extract,2
P3,F10,component4,7,yeast_extract,2
P3,G10,component4,7,yeast_extract,2
P3,E1,component4,8,beef_extract,2
P3,F1,component4,8,beef_extract,2
P3,G1,component4,8,beef_extract,2
P3,H1,component4,8,beef_extract,2
P3,D3,component5,8,beef_extract,2
P3,E3,component5,8,beef_extract,2
P3,F3,component5,8,beef_extract,2
P3,G3,component5,8,beef_extract,2
P3,C5,component4,8,beef_extract,2
P3,D5,component4,8,beef_extract,2
P3,E5,component4,8,beef_extract,2
P3,F5,component4,8,beef_extract,2
P3,G5,component4,8,beef_extract,2
P3,H5,component4,8,beef_extract,2
P3,A6,component4,8,beef_extract,2
P3,B6,component4,8,beef_extract,2
P3,C6,component4,8,beef_extract,2
P3,D6,component4,8,beef_extract,2
P3,E6,component4,8,beef_extract,2
P3,A8,component5,8,beef_extract,2
P3,B8,component5,8,beef_extract,2
P3,C8,component5,8,beef_extract,2
P3,D8,component5,8,beef_extract,2
P3,E8,component5,8,beef_extract,2
P3,F8,component5,8,beef_extract,2
P3,G8,component5,8,beef_extract,2
P3,H8,component5,8,beef_extract,2
P3,A9,component5,8,beef_extract,2
P3,B9,component5,8,beef_extract,2
P3,C9,component5,8,beef_extract,2
P3,H10,component4,8,beef_extract,2
P3,A11,component4,8,beef_extract,2
P3,B11,component4,8,beef_extract,2
P3,C11,component4,8,beef_extract,2
P3,D11,component4,8,beef_extract,2
P3,E11,component4,8,beef_extract,2
P3,F11,component4,8,beef_extract,2
P3,G11,component4,8,beef_extract,2
P3,H11,component4,8,beef_extract,2
P3,A12,component4,8,beef_extract,2
P3,B12,component4,8,beef_extract,2
P3,A2,component4,9,n_z_amine,2
P3,B2,component4,9,n_z_amine,2
P3,C2,component4,9,n_z_amine,2
P3,H3,component5,9,n_z_amine,2
P3,A4,component5,9,n_z_amine,2
P3,B4,component5,9,n_z_amine,2
P3,C5,component5,9,n_z_amine,2
P3,D5,component5,9,n_z_amine,2
P3,E5,component5,9,n_z_amine,2
