media_id,recipe_order,compound,compound_id,amount,unit,g_l,optional,condition,mmol_l,solution,solution_id,attribute,medium,complex_compound
252,9,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,STARCH - MINERAL SALT - AGAR (STMS),0
260,1,Na2HPO4 x 2 H2O,181,4.5,g,4.5,0,NA,31.6993,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,0
260,2,KH2PO4,11,1.5,g,1.5,0,NA,11.0225,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,0
260,3,NH4Cl,42,1,g,1,0,NA,18.6951,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,0
260,4,MnSO4 x H2O,14,0.01,g,0.01,0,NA,0.059166,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,0
260,5,MgSO4 x 7 H2O,8,0.2,g,0.2,0,NA,0.811438,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,0
260,6,CaCl2 x 2 H2O,7,0.01,g,0.01,0,NA,0.0680203,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,0
260,7,Ferric ammonium citrate,97,5,mg,0.005,0,NA,NA,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,0
260,8,NA,NA,3,ml,NA,0,NA,NA,Trace element solution SL-6,25,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,NA
260,9,Na-pyruvate,113,1.5,g,1.5,0,NA,13.6309,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,0
260,10,Agar,3,15,g,15,0,for solid medium,44.5991,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,1
260,11,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,0
