media_id,recipe_order,compound,compound_id,amount,unit,g_l,optional,condition,mmol_l,solution,solution_id,attribute,medium,complex_compound
J104,3,N-Z amine,1608,2,g,2,0,type A,NA,NA,NA,Sheffield,SUCROSE-BENNETT'S AGAR,1
J104,4,Sucrose,108,10,g,10,0,NA,29.2141,NA,NA,NA,SUCROSE-BENNETT'S AGAR,0
J104,5,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,SUCROSE-BENNETT'S AGAR,1
J104,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,SUCROSE-BENNETT'S AGAR,0
J226,1,K2HPO4,10,1,g,0.990099,0,NA,5.68447,NA,NA,NA,CZAPEK YEAST EXTRACT AGAR (CYA),0
J226,2,NA,NA,10,ml,NA,0,NA,NA,Czapek concentrate,3898,NA,CZAPEK YEAST EXTRACT AGAR (CYA),NA
J226,3,Yeast extract,16,5,g,4.9505,0,NA,NA,NA,NA,NA,CZAPEK YEAST EXTRACT AGAR (CYA),1
J226,4,Sucrose,108,30,g,29.703,0,NA,86.7747,NA,NA,NA,CZAPEK YEAST EXTRACT AGAR (CYA),0
J226,5,Agar,3,15,g,14.8515,0,NA,44.1575,NA,NA,NA,CZAPEK YEAST EXTRACT AGAR (CYA),1
J226,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,CZAPEK YEAST EXTRACT AGAR (CYA),0
J32,1,Peptone,1,5,g,5,0,NA,NA,NA,NA,NA,MY20 AGAR,1
J32,2,Yeast extract,16,3,g,3,0,NA,NA,NA,NA,NA,MY20 AGAR,1
J32,3,Malt extract,116,3,g,3,0,NA,NA,NA,NA,NA,MY20 AGAR,1
J32,4,Glucose,5,200,g,200,0,NA,1110.12,NA,NA,NA,MY20 AGAR,0
J32,5,Agar,3,20,g,20,0,NA,59.4654,NA,NA,NA,MY20 AGAR,1
J32,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,MY20 AGAR,0
J42,1,Yeast extract,16,2,g,2,0,NA,NA,NA,NA,BD-Difco,YEAST-STARCH AGAR (A),1
J42,2,Starch,199,10,g,10,0,NA,NA,NA,NA,soluble,YEAST-STARCH AGAR (A),1
J42,3,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,YEAST-STARCH AGAR (A),1
J42,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,YEAST-STARCH AGAR (A),0
J43,1,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,BD-Difco,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2),1
J43,2,Malt extract,116,10,g,10,0,NA,NA,NA,NA,BD-Difco,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2),1
J43,3,Glucose,5,4,g,4,0,NA,22.2025,NA,NA,NA,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2),0
J43,4,Agar,3,20,g,20,0,NA,59.4654,NA,NA,NA,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2),1
J43,5,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2),0
J44,1,Yeast extract,16,1,g,1,0,NA,NA,NA,NA,BD-Difco,BENNETT'S AGAR,1
J44,2,Beef extract,85,1,g,1,0,NA,NA,NA,NA,BD-Difco,BENNETT'S AGAR,1
J44,3,N-Z amine,1608,2,g,2,0,type A,NA,NA,NA,Sheffield,BENNETT'S AGAR,1
J44,4,Glucose,5,10,g,10,0,NA,55.5062,NA,NA,NA,BENNETT'S AGAR,0
J44,5,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,BENNETT'S AGAR,1
J44,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,BENNETT'S AGAR,0
J45,1,Yeast extract,16,1,g,1,0,NA,NA,NA,NA,BD-Difco,MALTOSE-BENNETT'S AGAR,1
J45,2,Beef extract,85,1,g,1,0,NA,NA,NA,NA,BD-Difco,MALTOSE-BENNETT'S AGAR,1
J45,3,N-Z amine,1608,2,g,2,0,type A,NA,NA,NA,Sheffield,MALTOSE-BENNETT'S AGAR,1
J45,4,Maltose,171,10,g,10,0,NA,29.2141,NA,NA,NA,MALTOSE-BENNETT'S AGAR,0
J45,5,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,MALTOSE-BENNETT'S AGAR,1
J45,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,MALTOSE-BENNETT'S AGAR,0
J48,1,Corn steep liquor,1609,5,g,5,0,NA,NA,NA,NA,NA,PEPTONE CORN AGAR,1
J48,2,Peptone,1,5,g,5,0,NA,NA,NA,NA,Oxoid,PEPTONE CORN AGAR,1
J48,3,Starch,199,10,g,10,0,NA,NA,NA,NA,soluble,PEPTONE CORN AGAR,1
J48,4,NaCl,43,5,g,5,0,NA,85.5578,NA,NA,NA,PEPTONE CORN AGAR,0
J48,5,CaCl2 x 2 H2O,7,0.5,g,0.5,0,NA,3.40101,NA,NA,NA,PEPTONE CORN AGAR,0
J48,6,Agar,3,16,g,16,0,NA,47.5723,NA,NA,NA,PEPTONE CORN AGAR,1
J48,7,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,PEPTONE CORN AGAR,0
J49,1,Czapek-Dox liquid medium,1610,33.4,g,33.4,0,modified,NA,NA,NA,Oxoid,CYC AGAR,0
J49,2,Yeast extract,16,2,g,2,0,NA,NA,NA,NA,BD-Difco,CYC AGAR,1
J49,3,Casamino acids,101,6,g,6,0,vitamin assay,NA,NA,NA,BD-Difco,CYC AGAR,1
J49,4,Agar,3,16,g,16,0,NA,47.5723,NA,NA,NA,CYC AGAR,1
J49,5,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,CYC AGAR,0
J50,1,Oatmeal,471,20,g,19.98,0,NA,NA,NA,NA,Quaker White Oats,OATMEAL AGAR (ISP-3),1
J50,2,NA,NA,1,ml,NA,0,NA,NA,Trace salt solution,1209,NA,OATMEAL AGAR (ISP-3),NA
J50,3,Agar,3,18,g,17.982,0,NA,53.4654,NA,NA,NA,OATMEAL AGAR (ISP-3),1
J50,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,OATMEAL AGAR (ISP-3),0
J51,1,Oatmeal agar,1611,1000,ml,NA,0,NA,NA,NA,NA,ISP-3) (see Medium No. 50,OATMEAL AGAR (ISP-3) WITH 0.1% YEAST EXTRACT,1
J51,2,Yeast extract,16,1,g,1,0,NA,NA,NA,NA,BD-Difco,OATMEAL AGAR (ISP-3) WITH 0.1% YEAST EXTRACT,1
J52,1,Oatmeal,471,3,g,3,0,powdered,NA,NA,NA,Quaker White Oats,OATMEAL-NITRATE AGAR,1
J52,2,KNO3,191,0.2,g,0.2,0,NA,1.97818,NA,NA,NA,OATMEAL-NITRATE AGAR,0
J52,3,K2HPO4,10,0.5,g,0.5,0,NA,2.87066,NA,NA,NA,OATMEAL-NITRATE AGAR,0
J52,4,MgSO4 x 7 H2O,8,0.2,g,0.2,0,NA,0.811438,NA,NA,NA,OATMEAL-NITRATE AGAR,0
J52,5,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,OATMEAL-NITRATE AGAR,1
J52,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,OATMEAL-NITRATE AGAR,0
J527,1,Yeast extract-malt extract agar,1682,1000,ml,NA,0,NA,NA,NA,NA,ISP-2) (see Medium No. 43,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2) WITH 5% NaCl (pH 9.0),1
J527,2,NaCl,43,50,g,50,0,NA,855.578,NA,NA,NA,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2) WITH 5% NaCl (pH 9.0),0
J53,1,Glucose,5,2,g,1.998,0,NA,11.0902,NA,NA,NA,MGA AGAR,0
J53,2,L-Asparagine,829,1,g,0.999001,0,NA,7.56132,NA,NA,NA,MGA AGAR,0
J53,3,K2HPO4,10,0.5,g,0.499501,0,NA,2.86779,NA,NA,NA,MGA AGAR,0
J53,4,MgSO4 x 7 H2O,8,0.5,g,0.499501,0,NA,2.02657,NA,NA,NA,MGA AGAR,0
J53,5,NA,NA,1,ml,NA,0,NA,NA,Trace salts solution,3677,NA,MGA AGAR,NA
J53,6,Agar,3,15,g,14.985,0,NA,44.5545,NA,NA,NA,MGA AGAR,1
J53,7,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,MGA AGAR,0
J54,1,Potato,1606,300,g,300,0,peeled and cut,NA,NA,NA,NA,POTATO-CARROT AGAR,1
J54,2,Carrot,1612,25,g,25,0,peeled and cut,NA,NA,NA,NA,POTATO-CARROT AGAR,1
J54,3,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,POTATO-CARROT AGAR,1
J54,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,POTATO-CARROT AGAR,0
J569,1,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,BD-Difco,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2) WITH ARTIFICIAL SEAWATER,1
J569,2,Malt extract,116,10,g,10,0,NA,NA,NA,NA,BD-Difco,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2) WITH ARTIFICIAL SEAWATER,1
J569,3,Glucose,5,4,g,4,0,NA,22.2025,NA,NA,NA,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2) WITH ARTIFICIAL SEAWATER,0
J569,4,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2) WITH ARTIFICIAL SEAWATER,1
J569,5,Sea water,286,1000,ml,NA,0,NA,NA,NA,NA,artificial,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2) WITH ARTIFICIAL SEAWATER,0
J58,1,Starch,199,10,g,9.99001,0,NA,NA,NA,NA,soluble,INORGANIC SALTS-STARCH AGAR (ISP-4),1
J58,2,K2HPO4,10,1,g,0.999001,0,NA,5.73558,NA,NA,NA,INORGANIC SALTS-STARCH AGAR (ISP-4),0
J58,3,MgSO4 x 7 H2O,8,1,g,0.999001,0,NA,4.05314,NA,NA,NA,INORGANIC SALTS-STARCH AGAR (ISP-4),0
J58,4,NaCl,43,1,g,0.999001,0,NA,17.0945,NA,NA,NA,INORGANIC SALTS-STARCH AGAR (ISP-4),0
J58,5,(NH4)2SO4,27,2,g,1.998,0,NA,15.1203,NA,NA,NA,INORGANIC SALTS-STARCH AGAR (ISP-4),0
J58,6,CaCO3,13,2,g,1.998,0,NA,19.9621,NA,NA,NA,INORGANIC SALTS-STARCH AGAR (ISP-4),0
J58,7,NA,NA,1,ml,NA,0,NA,NA,Trace salts solution,3683,NA,INORGANIC SALTS-STARCH AGAR (ISP-4),NA
J58,8,Agar,3,20,g,19.98,0,NA,59.406,NA,NA,NA,INORGANIC SALTS-STARCH AGAR (ISP-4),1
J58,9,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,INORGANIC SALTS-STARCH AGAR (ISP-4),0
J60,1,L-Asparagine,829,1,g,0.999001,0,NA,7.56132,NA,NA,NA,GLYCEROL-ASPARAGINE AGAR (ISP-5),0
J60,2,Glycerol,72,10,g,9.99001,0,NA,108.481,NA,NA,NA,GLYCEROL-ASPARAGINE AGAR (ISP-5),0
J60,3,K2HPO4,10,1,g,0.999001,0,NA,5.73558,NA,NA,NA,GLYCEROL-ASPARAGINE AGAR (ISP-5),0
J60,4,NA,NA,1,ml,NA,0,NA,NA,Trace salt solution,1209,NA,GLYCEROL-ASPARAGINE AGAR (ISP-5),NA
J60,5,Agar,3,15,g,14.985,0,NA,44.5545,NA,NA,NA,GLYCEROL-ASPARAGINE AGAR (ISP-5),1
J60,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,GLYCEROL-ASPARAGINE AGAR (ISP-5),0
J61,1,Starch,199,15,g,15,0,NA,NA,NA,NA,soluble,YEAST-STARCH AGAR (B),1
J61,2,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,BD-Difco,YEAST-STARCH AGAR (B),1
J61,3,K2HPO4,10,0.5,g,0.5,0,NA,2.87066,NA,NA,NA,YEAST-STARCH AGAR (B),0
J61,4,MgSO4 x 7 H2O,8,0.5,g,0.5,0,NA,2.02859,NA,NA,NA,YEAST-STARCH AGAR (B),0
J61,5,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,YEAST-STARCH AGAR (B),1
J61,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,YEAST-STARCH AGAR (B),0
J66,1,V8 canned vegetable juice,1616,200,ml,NA,0,NA,NA,NA,NA,Campbell,V8 JUICE AGAR,1
J66,2,CaCO3,13,3,g,3,0,NA,29.973,NA,NA,NA,V8 JUICE AGAR,0
J66,3,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,V8 JUICE AGAR,1
J66,4,Distilled water,4,800,ml,NA,0,NA,NA,NA,NA,NA,V8 JUICE AGAR,0
J720,1,Tryptone,71,3,g,3,0,NA,42.206,NA,NA,BD-Difco,TCG MEDIUM,1
J720,2,Casitone,84,5,g,5,0,NA,NA,NA,NA,BD-Difco,TCG MEDIUM,1
J720,3,Glucose,5,4,g,4,0,NA,22.2025,NA,NA,NA,TCG MEDIUM,0
J720,4,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,TCG MEDIUM,1
J720,5,Sea water,286,1000,ml,NA,0,NA,NA,NA,NA,artificial,TCG MEDIUM,0
J81,1,Starch,199,20,g,20,0,NA,NA,NA,NA,soluble,GAUZE'S SYNTHETIC MEDIUM NO. 1,1
J81,2,KNO3,191,1,g,1,0,NA,9.8909,NA,NA,NA,GAUZE'S SYNTHETIC MEDIUM NO. 1,0
J81,3,NaCl,43,0.5,g,0.5,0,NA,8.55578,NA,NA,NA,GAUZE'S SYNTHETIC MEDIUM NO. 1,0
J81,4,MgSO4 x 7 H2O,8,0.5,g,0.5,0,NA,2.02859,NA,NA,NA,GAUZE'S SYNTHETIC MEDIUM NO. 1,0
J81,5,K2HPO4,10,0.5,g,0.5,0,NA,2.87066,NA,NA,NA,GAUZE'S SYNTHETIC MEDIUM NO. 1,0
J81,6,FeSO4 x 7 H2O,12,10,mg,0.01,0,NA,0.0359693,NA,NA,NA,GAUZE'S SYNTHETIC MEDIUM NO. 1,0
J81,7,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,GAUZE'S SYNTHETIC MEDIUM NO. 1,1
J81,8,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,GAUZE'S SYNTHETIC MEDIUM NO. 1,0
